PERMNO,date,TICKER,PERMCO,PRC,VOL,RET
13407,2016/10/4,FB,54084,128.19,14307548,-0.004504
13407,2016/10/5,FB,54084,128.47,12386753,0.002184
13407,2016/10/6,FB,54084,128.74001,11682729,0.002102
13407,2016/10/7,FB,54084,128.99001,12804420,0.001942
13407,2016/10/10,FB,54084,130.24001,15120720,0.009691
13407,2016/10/11,FB,54084,128.88,17537928,-0.010442
13407,2016/10/12,FB,54084,129.05,11072991,0.001319
13407,2016/10/13,FB,54084,127.82,17139290,-0.009531
13407,2016/10/14,FB,54084,127.88,13345292,0.000469
13407,2016/10/17,FB,54084,127.54,11351685,-0.002659
13407,2016/10/18,FB,54084,128.57001,13503967,0.008076
13407,2016/10/19,FB,54084,130.11,16752321,0.011978
13407,2016/10/20,FB,54084,130,13167503,-0.000845
13407,2016/10/21,FB,54084,132.07001,19083146,0.015923
13407,2016/10/24,FB,54084,133.28,17470227,0.009162
13407,2016/10/25,FB,54084,132.28999,13344187,-0.007428
13407,2016/10/26,FB,54084,131.03999,13085317,-0.009449
13407,2016/10/27,FB,54084,129.69,16741393,-0.010302
13407,2016/10/28,FB,54084,131.28999,24545547,0.012337
13407,2016/10/31,FB,54084,130.99001,15668982,-0.002285
13407,2016/11/1,FB,54084,129.5,22219154,-0.011375
13407,2016/11/2,FB,54084,127.17,50190725,-0.017992
13407,2016/11/3,FB,54084,120,63766814,-0.056381
13407,2016/11/4,FB,54084,120.75,30547066,0.00625
13407,2016/11/7,FB,54084,122.15,23008880,0.011594
13407,2016/11/8,FB,54084,124.22,19460768,0.016946
13407,2016/11/9,FB,54084,123.18,31916220,-0.008372
13407,2016/11/10,FB,54084,120.8,67847704,-0.019321
13407,2016/11/11,FB,54084,119.02,32842827,-0.014735
13407,2016/11/14,FB,54084,115.08,51389440,-0.033104
13407,2016/11/15,FB,54084,117.2,34690679,0.018422
13407,2016/11/16,FB,54084,116.34,32398747,-0.007338
13407,2016/11/17,FB,54084,117.79,18597766,0.012464
13407,2016/11/18,FB,54084,117.02,22879503,-0.006537
13407,2016/11/21,FB,54084,121.77,35415383,0.040591
13407,2016/11/22,FB,54084,121.47,26089163,-0.002464
13407,2016/11/23,FB,54084,120.84,15672136,-0.005187
13407,2016/11/25,FB,54084,120.38,8658795,-0.003807
13407,2016/11/28,FB,54084,120.41,18101344,0.000249
13407,2016/11/29,FB,54084,120.87,18890956,0.00382
13407,2016/11/30,FB,54084,118.42,30188922,-0.02027
13407,2016/12/1,FB,54084,115.1,43276994,-0.028036
13407,2016/12/2,FB,54084,115.4,25085564,0.002606
13407,2016/12/5,FB,54084,117.43,20201528,0.017591
13407,2016/12/6,FB,54084,117.31,19131202,-0.001022
13407,2016/12/7,FB,54084,117.95,21913660,0.005456
13407,2016/12/8,FB,54084,118.91,22442806,0.008139
13407,2016/12/9,FB,54084,119.68,17464736,0.006475
13407,2016/12/12,FB,54084,117.77,17805583,-0.015959
13407,2016/12/13,FB,54084,120.31,29768028,0.021567
13407,2016/12/14,FB,54084,120.21,25913095,-0.000831
13407,2016/12/15,FB,54084,120.57,20140167,0.002995
13407,2016/12/16,FB,54084,119.87,25324299,-0.005806
13407,2016/12/19,FB,54084,119.24,15918168,-0.005256
13407,2016/12/20,FB,54084,119.09,13684402,-0.001258
13407,2016/12/21,FB,54084,119.04,10767646,-0.00042
13407,2016/12/22,FB,54084,117.4,16258907,-0.013777
13407,2016/12/23,FB,54084,117.27,10889985,-0.001107
13407,2016/12/27,FB,54084,118.01,12051481,0.00631
13407,2016/12/28,FB,54084,116.92,12087377,-0.009237
13407,2016/12/29,FB,54084,116.35,9934873,-0.004875
13407,2016/12/30,FB,54084,115.05,18684106,-0.011173
13407,2017/1/3,FB,54084,116.86,20653662,0.015732
13407,2017/1/4,FB,54084,118.69,19630932,0.01566
13407,2017/1/5,FB,54084,120.67,19492150,0.016682
13407,2017/1/6,FB,54084,123.41,28576663,0.022707
13407,2017/1/9,FB,54084,124.9,22880360,0.012074
13407,2017/1/10,FB,54084,124.35,17324590,-0.004404
13407,2017/1/11,FB,54084,126.09,18357523,0.013993
13407,2017/1/12,FB,54084,126.62,18653914,0.004203
13407,2017/1/13,FB,54084,128.34,24874467,0.013584
13407,2017/1/17,FB,54084,127.87,15294460,-0.003662
13407,2017/1/18,FB,54084,127.92,13146332,0.000391
13407,2017/1/19,FB,54084,127.55,12195480,-0.002892
13407,2017/1/20,FB,54084,127.04,19097223,-0.003998
13407,2017/1/23,FB,54084,128.92999,16593563,0.014877
13407,2017/1/24,FB,54084,129.37,15162724,0.003413
13407,2017/1/25,FB,54084,131.48,18777314,0.01631
13407,2017/1/26,FB,54084,132.78,20020141,0.009887
13407,2017/1/27,FB,54084,132.17999,19528014,-0.004519
13407,2017/1/30,FB,54084,130.98,18973904,-0.009079
13407,2017/1/31,FB,54084,130.32001,19790514,-0.005039
13407,2017/2/1,FB,54084,133.23,50141823,0.02233
13407,2017/2/2,FB,54084,130.84,54367208,-0.017939
13407,2017/2/3,FB,54084,130.98,24808890,0.00107
13407,2017/2/6,FB,54084,132.06,17058494,0.008246
